N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"88,000","1,700",-1.90%,100,"5,253,409","5,969,783",55.57,"33,117,980",24.03,8.69,
2,SK하이닉스,"127,500","3,000",-2.30%,"5,000","928,203","728,002",50.20,"4,763,450",32.34,4.25,
3,LG화학,"979,000","31,000",-3.07%,"5,000","691,099","70,592",43.59,"442,295",91.47,1.84,
4,삼성전자우,"77,600","1,200",-1.52%,100,"638,560","822,887",80.52,"3,116,433",21.19,N/A,
5,삼성바이오로직스,"804,000","12,000",-1.47%,"2,500","531,967","66,165",10.40,"136,954",149.69,4.77,
6,현대차,"240,000","10,500",-4.19%,"5,000","512,804","213,668",30.95,"3,863,728",57.35,4.32,
7,삼성SDI,"737,000","12,000",-1.60%,"5,000","506,795","68,765",44.17,"529,273",251.45,2.94,
8,NAVER,"306,000","12,000",-3.77%,100,"502,646","164,263",56.50,"1,097,141",60.92,10.56,
9,셀트리온,"329,000","23,500",-6.67%,"1,000","444,143","134,998",20.37,"3,316,763",88.92,11.19,
10,카카오,"437,500","14,000",-3.10%,500,"387,196","88,502",33.44,"988,518",-485.57,-5.81,
11,현대모비스,"321,500","5,500",-1.68%,"5,000","305,601","95,055",42.28,"762,127",19.61,7.28,
12,기아차,"71,100","2,700",-3.66%,"5,000","288,213","405,363",37.11,"4,411,976",33.04,6.50,
13,삼성물산,"153,500","1,000",+0.66%,100,"286,872","186,887",14.95,"1,205,070",25.72,4.77,
14,LG생활건강,"1,580,000","16,000",-1.00%,"5,000","246,768","15,618",45.64,"45,893",35.40,20.32,
15,SK이노베이션,"262,500",500,+0.19%,"5,000","242,722","92,466",24.16,"1,526,026",-9.98,-0.20,
16,POSCO,"275,000","7,000",-2.48%,"5,000","239,764","87,187",51.00,"370,851",25.19,4.18,
17,LG전자,"140,000","7,000",-4.76%,"5,000","229,107","163,648",34.44,"2,768,740",30.41,0.22,
18,SK,"302,500","3,500",-1.14%,200,"212,840","70,360",22.02,"923,531","1,276.37",4.31,
19,엔씨소프트,"935,000","4,000",-0.43%,500,"205,270","21,954",49.17,"109,461",36.59,14.72,
20,SK텔레콤,"251,500","4,000",-1.57%,500,"203,075","80,746",34.44,"514,837",18.52,3.92,
21,KB금융,"45,200","1,350",-2.90%,"5,000","187,945","415,808",66.38,"2,543,502",5.51,8.92,
22,LG,"106,000","2,500",-2.30%,"5,000","182,911","172,557",34.77,"721,387",14.98,5.87,
23,신한지주,"33,350",700,-2.06%,"5,000","172,262","516,527",58.14,"3,764,710",4.78,9.09,
24,삼성생명,"82,600","2,300",-2.71%,500,"165,200","200,000",12.40,"833,899",16.59,3.26,
25,한국전력,"25,300",650,-2.50%,"5,000","162,417","641,964",17.35,"5,461,512",175.69,-3.42,
26,삼성에스디에스,"203,500","6,000",-2.86%,500,"157,464","77,378",11.82,"319,622",30.04,11.76,
